epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5824.72,1.5333,1.69167,1.39162,0.78864,0.78202,0.84517,0.50862,1.3675,1.13323,1.28895,0.070056,0.00332711,0.00332711
2,11052.9,1.39887,1.0584,1.31344,0.77668,0.73476,0.81259,0.45165,1.48869,1.18296,1.39675,0.0393966,0.00600106,0.00600106
3,16034.9,1.38497,1.03698,1.33654,0.7224,0.76671,0.77612,0.43199,1.43453,1.31293,1.40432,0.0080772,0.00801501,0.00801501
4,21211,1.37528,0.99862,1.35194,0.74677,0.62973,0.73569,0.43621,1.47744,1.27135,1.42425,0.00703,0.00703,0.00703
5,26133,1.31686,0.91984,1.31256,0.86215,0.80005,0.89622,0.56488,1.30751,0.8689,1.31275,0.00604,0.00604,0.00604
6,30930.3,1.25944,0.85156,1.27283,0.8579,0.8145,0.89838,0.5646,1.3262,0.86998,1.30219,0.00505,0.00505,0.00505
7,35833.8,1.21266,0.79845,1.24362,0.86678,0.80411,0.89468,0.58172,1.24336,0.81802,1.26943,0.00406,0.00406,0.00406
8,40795.9,1.16023,0.7495,1.21311,0.88582,0.82944,0.92077,0.6119,1.18645,0.76092,1.2378,0.00307,0.00307,0.00307
9,45712.9,1.1141,0.71024,1.19069,0.88291,0.83376,0.92347,0.6213,1.18021,0.73902,1.22954,0.00208,0.00208,0.00208
10,50624.9,1.06629,0.66839,1.15531,0.88278,0.85907,0.92953,0.64511,1.10839,0.69115,1.19126,0.00109,0.00109,0.00109
